case_name,geom_name,split,alt_kft,Re,M_inf,alpha_deg,beta_deg,CL,CD,CMy,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3
case_0707,geom_070,train,9.382,2209000.0,0.07551,13.04,0.0,0.662546311485,0.056221822115,-0.393968935494,146.5,102.3,470.3,1000.0,849.1,189.1,81.08,42.72,41.88,24.2
case_0708,geom_070,train,20.09,12150000.0,0.1027,7.597,0.0,0.388163927217,0.021976794043,-0.229163232227,146.5,102.3,470.3,1000.0,849.1,189.1,81.08,42.72,41.88,24.2
case_0709,geom_070,train,25.57,7523000.0,0.1945,14.05,0.0,0.719967141285,0.064354439432,-0.428715778768,146.5,102.3,470.3,1000.0,849.1,189.1,81.08,42.72,41.88,24.2
case_0710,geom_071,train,26.51,12950000.0,0.1673,16.77,0.0,0.91334638121,0.08614788655,-0.759352208717,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0711,geom_071,train,5.924,45550000.0,0.4302,13.06,0.0,0.746268625601,0.057437788402,-0.62562564836,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0712,geom_071,train,35.2,6439000.0,0.1963,-0.5785,0.0,-0.024705987491,0.005727118031,0.019119193341,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0713,geom_071,train,36.4,6544000.0,0.09655,5.308,0.0,0.293971404988,0.013739296284,-0.245893302048,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0714,geom_071,train,15.94,1006000.0,0.2492,10.16,0.0,0.56349258525,0.037374295162,-0.471139870891,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0717,geom_071,train,28.95,29780000.0,0.4898,-9.833,0.0,-0.555921437737,0.034182393804,0.462350130292,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0718,geom_071,train,23.81,7118000.0,0.07691,-3.453,0.0,-0.179552151336,0.008722285151,0.147628483141,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0719,geom_071,train,9.219,17710000.0,0.3906,3.113,0.0,0.18222526211,0.008045584267,-0.153743106625,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
case_0720,geom_072,train,37.65,21300000.0,0.3042,-5.995,0.0,-0.229023654168,0.014882588431,0.152898619797,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
case_0721,geom_072,train,6.105,16350000.0,0.2014,-8.784,0.0,-0.33275185647,0.026425951228,0.222956543381,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
case_0723,geom_072,train,34.68,5139000.0,0.2462,7.651,0.0,0.294813180243,0.022440720835,-0.198159327878,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
case_0724,geom_072,train,11.18,1307000.0,0.06073,3.346,0.0,0.128003527618,0.009937069794,-0.085672995501,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
case_0727,geom_072,train,30.4,1835000.0,0.4469,11.03,0.0,0.434923944458,0.043231136854,-0.294559064363,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
case_0728,geom_072,train,1.556,24720000.0,0.3383,16.82,0.0,0.653126478281,0.089062541527,-0.448179350855,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
case_0729,geom_072,train,21.83,9083000.0,0.1401,-0.8669,0.0,-0.031737919298,0.005464988963,0.020964469445,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
case_0730,geom_073,train,2.143,36590000.0,0.3016,-1.392,0.0,-0.067699847008,0.00540729559,0.050963147857,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0731,geom_073,train,22.96,11130000.0,0.2212,13.98,0.0,0.686549714469,0.07014349947,-0.522384373277,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0732,geom_073,train,37.4,3314000.0,0.06339,7.353,0.0,0.360182731865,0.023989058701,-0.273344370196,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0733,geom_073,train,34.88,10580000.0,0.1352,19.23,0.0,0.931515710578,0.12648087449,-0.709705858145,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0734,geom_073,train,8.33,2370000.0,0.1529,10.05,0.0,0.492972131146,0.039754248849,-0.374535809224,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0735,geom_073,train,7.406,15000000.0,0.3982,-9.071,0.0,-0.452885098003,0.033274856152,0.343635304926,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0736,geom_073,train,12.3,16700000.0,0.3632,-4.659,0.0,-0.231643337511,0.012523873349,0.175431781017,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0737,geom_073,train,18.15,24740000.0,0.2626,2.682,0.0,0.134223035143,0.007431902704,-0.102098743503,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0738,geom_073,train,30.21,33170000.0,0.4156,0.5962,0.0,0.031706189593,0.004973180883,-0.02445818613,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0739,geom_073,train,25.73,19850000.0,0.4574,15.69,0.0,0.794236647948,0.092151578641,-0.607725659829,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
case_0740,geom_074,train,0.782,6654000.0,0.1441,5.852,0.0,0.351133098051,0.017129998986,-0.313614795824,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0741,geom_074,train,31.74,17080000.0,0.2453,12.99,0.0,0.778113528023,0.061281169134,-0.692479750784,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0742,geom_074,train,13.5,2599000.0,0.3699,15.98,0.0,0.972605101734,0.094606263809,-0.86644741481,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0743,geom_074,train,25.63,14410000.0,0.3308,8.867,0.0,0.543083151719,0.032357193428,-0.486110108807,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0744,geom_074,train,19.74,26040000.0,0.2119,3.69,0.0,0.225085380587,0.009558798255,-0.201677100233,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0745,geom_074,train,22.26,30960000.0,0.4224,-7.364,0.0,-0.44902052821,0.023508913765,0.400210899254,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0746,geom_074,train,32.89,24040000.0,0.4793,0.9957,0.0,0.068616959293,0.005422508239,-0.062841890525,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0747,geom_074,train,38.81,2414000.0,0.1306,19.5,0.0,1.138418155169,0.128944226235,-1.003732525035,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0749,geom_074,train,8.028,9102000.0,0.05862,-1.867,0.0,-0.104480295398,0.006678734138,0.091787356937,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
case_0750,geom_075,train,18.92,4701000.0,0.3629,0.1613,0.0,0.015011073783,0.005994127693,-0.013879928446,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0751,geom_075,train,39.51,4221000.0,0.1209,11.89,0.0,0.661190929691,0.049255320033,-0.566213943904,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0752,geom_075,train,20.21,4984000.0,0.2329,7.93,0.0,0.448871939218,0.025672203734,-0.385865553276,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0753,geom_075,train,24.92,5344000.0,0.07606,4.348,0.0,0.245653009128,0.011750400068,-0.211401958654,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0755,geom_075,train,1.939,31670000.0,0.1488,8.115,0.0,0.455355299222,0.025056870364,-0.390836153586,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0756,geom_075,train,10.66,29820000.0,0.2144,-6.855,0.0,-0.37528352343,0.018747023677,0.319852787038,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0758,geom_075,train,33.07,6953000.0,0.3788,-7.741,0.0,-0.435820453817,0.024486058842,0.372738596954,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0759,geom_075,train,13.6,32650000.0,0.2889,17.48,0.0,0.980453585868,0.100930897022,-0.837479309727,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
case_0760,geom_076,train,1.146,13890000.0,0.1664,-8.654,0.0,-0.450918174082,0.022156880976,0.412648547963,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0761,geom_076,train,24.69,45240000.0,0.4995,6.752,0.0,0.398111094248,0.017142077068,-0.374546523308,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0762,geom_076,train,19.69,1733000.0,0.07771,1.741,0.0,0.103612872321,0.007303544124,-0.098157600649,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0764,geom_076,train,32.88,13840000.0,0.2319,2.243,0.0,0.132202271152,0.006310919764,-0.124875558637,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0765,geom_076,train,8.917,1827000.0,0.2781,14.43,0.0,0.791485532579,0.059200708291,-0.734159227823,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0766,geom_076,train,38.9,12150000.0,0.3268,-1.433,0.0,-0.067732098274,0.005416610077,0.06076796728,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0767,geom_076,train,15.3,10630000.0,0.1077,8.314,0.0,0.454619937315,0.022134368,-0.422541655839,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0769,geom_076,train,22.76,10890000.0,0.3664,18.5,0.0,1.018569085216,0.093325540919,-0.939483051188,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
case_0770,geom_077,train,26.19,13820000.0,0.1598,19.83,0.0,1.182799303747,0.123020928579,-1.04607025832,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0771,geom_077,train,12.21,10730000.0,0.3137,15.56,0.0,0.958516100803,0.081458108536,-0.857317039419,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0772,geom_077,train,11.15,10140000.0,0.09714,2.878,0.0,0.18106277516,0.008103744035,-0.163832293148,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0773,geom_077,train,39.2,12720000.0,0.2006,-2.97,0.0,-0.170408942983,0.007810001641,0.150572087893,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0775,geom_077,train,3.37,4191000.0,0.07393,-6.181,0.0,-0.359355793296,0.016971408934,0.318443454596,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0776,geom_077,train,23.23,994200.0,0.2484,6.634,0.0,0.411862554117,0.021179723923,-0.371052104383,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0777,geom_077,train,18.92,19670000.0,0.3335,-0.04252,0.0,0.006423535013,0.005073426394,-0.007668525852,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0778,geom_077,train,29.33,25000000.0,0.3679,9.366,0.0,0.591378471578,0.033251601021,-0.533222060515,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
case_0780,geom_078,train,35.26,952700.0,0.1472,-8.745,0.0,-0.30089511941,0.025036282606,0.198704302734,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
case_0781,geom_078,train,6.823,24360000.0,0.2607,-1.749,0.0,-0.060433689822,0.004781982591,0.039682000675,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
case_0783,geom_078,train,36.01,5165000.0,0.3088,-4.751,0.0,-0.166125146084,0.010597103712,0.109578668623,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
case_0784,geom_078,train,29.77,33500000.0,0.4655,5.794,0.0,0.21030390542,0.013001308212,-0.139818329595,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
case_0786,geom_078,train,25.36,4194000.0,0.1049,18.93,0.0,0.649222113107,0.095427428465,-0.434838391338,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
case_0787,geom_078,train,11.79,6478000.0,0.329,16.11,0.0,0.564027209242,0.072270637873,-0.377177187003,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
case_0788,geom_078,train,16.34,4270000.0,0.05582,8.254,0.0,0.286683258058,0.022065537113,-0.189895949269,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
case_0790,geom_079,train,12.61,7372000.0,0.1226,9.306,0.0,0.543202974648,0.028322395837,-0.557977835635,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0791,geom_079,train,4.782,32880000.0,0.2501,5.495,0.0,0.33008539493,0.012949998831,-0.34063703648,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0792,geom_079,train,37.96,7894000.0,0.1611,-1.221,0.0,-0.057281013766,0.005994079216,0.056177396102,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0793,geom_079,train,17.48,25640000.0,0.3796,12.26,0.0,0.736593145679,0.046451092288,-0.75745126511,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0794,geom_079,train,21.22,35170000.0,0.4728,19.92,0.0,1.204033996495,0.118388081725,-1.22904474889,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0796,geom_079,train,0.1282,18050000.0,0.08178,15.3,0.0,0.880372192114,0.065916201487,-0.898031382466,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0797,geom_079,train,27.42,619400.0,0.2071,-7.351,0.0,-0.407373294468,0.021085338847,0.412905376117,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0799,geom_079,train,32.87,6623000.0,0.4539,-4.146,0.0,-0.236114307186,0.010187347961,0.240264381862,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
case_0800,geom_080,train,34.14,24390000.0,0.384,-6.783,0.0,-0.31435787098,0.018255283253,0.207814012742,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0801,geom_080,train,7.263,3483000.0,0.06141,10.92,0.0,0.493502061956,0.040093126769,-0.326987397014,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0802,geom_080,train,29.11,18290000.0,0.4461,7.421,0.0,0.354128085555,0.022029783622,-0.235793258488,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0803,geom_080,train,15.17,4911000.0,0.1755,2.831,0.0,0.130481209231,0.007538097082,-0.086683718476,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0804,geom_080,train,17.34,30990000.0,0.3363,-2.419,0.0,-0.110327886121,0.005828489779,0.072659844444,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0805,geom_080,train,9.596,6427000.0,0.09745,-8.095,0.0,-0.362030476196,0.023719703211,0.238572351913,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0806,geom_080,train,1.716,34130000.0,0.2837,-0.1295,0.0,-0.004153767096,0.00405439518,0.002368916081,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0809,geom_080,train,25.56,21140000.0,0.2285,18.43,0.0,0.833208056878,0.105120667678,-0.552840048036,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
case_0810,geom_081,train,31.28,2350000.0,0.05993,-4.202,0.0,-0.229718279786,0.012085639289,0.158620272463,165.8,198.2,426.5,1000.0,783.1,240.4,75.26,41.33,40.38,31.88
case_0812,geom_081,train,32.52,2096000.0,0.3496,-1.302,0.0,-0.070535768162,0.00723207772,0.048302334399,165.8,198.2,426.5,1000.0,783.1,240.4,75.26,41.33,40.38,31.88
case_0813,geom_081,train,38.93,4810000.0,0.4666,3.609,0.0,0.218863102185,0.010815621938,-0.153918873067,165.8,198.2,426.5,1000.0,783.1,240.4,75.26,41.33,40.38,31.88
case_0814,geom_081,train,20.32,16210000.0,0.2064,16.7,0.0,0.940351810539,0.097416422298,-0.655246995987,165.8,198.2,426.5,1000.0,783.1,240.4,75.26,41.33,40.38,31.88
case_0817,geom_081,train,6.194,20240000.0,0.1092,17.76,0.0,0.990808292507,0.107909028452,-0.689507822094,165.8,198.2,426.5,1000.0,783.1,240.4,75.26,41.33,40.38,31.88
case_0818,geom_081,train,8.276,34660000.0,0.2504,7.192,0.0,0.412886328982,0.022096371809,-0.288542442044,165.8,198.2,426.5,1000.0,783.1,240.4,75.26,41.33,40.38,31.88
case_0820,geom_082,train,34.28,18630000.0,0.364,7.689,0.0,0.435329460414,0.021396706318,-0.373115981002,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0821,geom_082,train,25.91,860100.0,0.08823,1.541,0.0,0.091199280633,0.007813595868,-0.079410667164,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0822,geom_082,train,36.77,4760000.0,0.2932,14.12,0.0,0.777564718322,0.059949339317,-0.661928850172,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0824,geom_082,train,3.497,46670000.0,0.3985,3.873,0.0,0.225762977865,0.008657101244,-0.194793686761,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0826,geom_082,train,16.74,62240000.0,0.4865,18.45,0.0,1.047197736646,0.103129896193,-0.890999846428,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0827,geom_082,train,14.82,3146000.0,0.1803,-6.827,0.0,-0.358675713447,0.017644583466,0.301826932872,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0828,geom_082,train,31.82,7803000.0,0.2653,-1.191,0.0,-0.056383593869,0.005600503471,0.046082005172,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0829,geom_082,train,21.18,6303000.0,0.1164,-7.205,0.0,-0.37706262949,0.018372991968,0.317027464513,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
case_0830,geom_083,train,30.6,630400.0,0.1666,-1.313,0.0,-0.052877830668,0.007426595933,0.036745706133,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0831,geom_083,train,36.83,5443000.0,0.2062,10.27,0.0,0.498136596568,0.030767687687,-0.35933150521,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0832,geom_083,train,23.81,10200000.0,0.09585,7.078,0.0,0.342573596051,0.016832594661,-0.246760571903,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0834,geom_083,train,9.586,5854000.0,0.06045,19.63,0.0,0.935329780264,0.099058263364,-0.675711997576,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0835,geom_083,train,34.54,14860000.0,0.4443,16.47,0.0,0.829641189065,0.076456051542,-0.602474158917,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0836,geom_083,train,13.35,43560000.0,0.4038,-7.492,0.0,-0.357995571303,0.017354010481,0.255481975173,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0837,geom_083,train,24.68,7937000.0,0.3437,1.581,0.0,0.085903322579,0.005765666104,-0.06270418124,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0838,geom_083,train,17.91,29110000.0,0.2511,-6.479,0.0,-0.299459649663,0.013640795316,0.212916042091,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0839,geom_083,train,1.72,17980000.0,0.2755,4.411,0.0,0.220711758824,0.009447952887,-0.159413206665,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
case_0840,geom_084,train,27.99,9020000.0,0.3388,11.54,0.0,0.545214639001,0.039297388147,-0.45586555782,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0841,geom_084,train,14.46,21720000.0,0.408,-2.51,0.0,-0.114832829462,0.005516359581,0.095233218456,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0842,geom_084,train,2.36,32720000.0,0.2416,-9.036,0.0,-0.410027402986,0.023741725487,0.339627128639,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0843,geom_084,train,36.18,3114000.0,0.05728,14.23,0.0,0.648787255208,0.055111478709,-0.539352297191,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0844,geom_084,train,22.65,1552000.0,0.4611,7.492,0.0,0.367972340155,0.021241590557,-0.309921665967,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0845,geom_084,train,32.74,4854000.0,0.1227,9.391,0.0,0.432754860374,0.026740652161,-0.361069025805,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0846,geom_084,train,29.39,17090000.0,0.2097,2.348,0.0,0.112878778287,0.005524594535,-0.09504473248,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0848,geom_084,train,6.699,4929000.0,0.1526,-6.283,0.0,-0.281368985862,0.014160269831,0.232915227296,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
case_0850,geom_085,train,19.44,41930000.0,0.4811,6.783,0.0,0.300409228698,0.017520739187,-0.222194982732,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0851,geom_085,train,5.864,845300.0,0.0605,2.447,0.0,0.104001323197,0.008141258448,-0.076688247575,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0852,geom_085,train,8.718,23490000.0,0.1479,-8.871,0.0,-0.363618927933,0.024563920578,0.265910989586,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0853,geom_085,train,29.46,4102000.0,0.2255,12.68,0.0,0.533582159926,0.048946925138,-0.39396845405,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0854,geom_085,train,21.58,17390000.0,0.4098,14.06,0.0,0.608225708153,0.061197562802,-0.451011368138,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0855,geom_085,train,12.33,46740000.0,0.314,17.81,0.0,0.754281960879,0.092530426201,-0.559146206571,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0856,geom_085,train,1.66,20150000.0,0.1149,-0.9873,0.0,-0.037933999352,0.004531600447,0.027308651495,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0857,geom_085,train,27.03,7242000.0,0.3239,10.21,0.0,0.435904677613,0.033808615387,-0.32180393956,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0858,geom_085,train,38.86,14290000.0,0.4375,-3.662,0.0,-0.155172292751,0.00814910803,0.113638513556,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0859,geom_085,train,32.77,12100000.0,0.2444,-4.521,0.0,-0.185878289699,0.00986265492,0.135738348585,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
case_0861,geom_086,train,18.34,11060000.0,0.1535,8.457,0.0,0.52253214728,0.029680613034,-0.434991483459,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0862,geom_086,train,24.04,18320000.0,0.2629,6.029,0.0,0.379200483363,0.017888186413,-0.316509142655,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0863,geom_086,train,39.59,1057000.0,0.07728,11.62,0.0,0.70998240257,0.052344006201,-0.58954840628,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0864,geom_086,train,1.225,10870000.0,0.1128,2.746,0.0,0.173428629436,0.008332577258,-0.145174447826,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0865,geom_086,train,35.33,11010000.0,0.1913,-1.221,0.0,-0.06837243167,0.006170671206,0.055418837434,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0866,geom_086,train,10.97,6360000.0,0.3188,-7.133,0.0,-0.436938807191,0.023119496721,0.361555218824,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0867,geom_086,train,29.59,38320000.0,0.4417,-0.3543,0.0,-0.015978680783,0.004964700241,0.011967506125,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0868,geom_086,train,5.193,31490000.0,0.4092,19.01,0.0,1.198866040428,0.133559720979,-0.99531429041,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0869,geom_086,train,15.29,2162000.0,0.4845,15.26,0.0,0.990869649949,0.093685660584,-0.829150900471,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
case_0870,geom_087,train,4.967,2324000.0,0.4073,13.23,0.0,0.807208326935,0.065394680729,-0.574673945531,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
case_0871,geom_087,train,39.71,5117000.0,0.3204,-9.714,0.0,-0.566725358354,0.035321245111,0.398592062129,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
case_0872,geom_087,train,14.48,12960000.0,0.2575,15.09,0.0,0.892069513505,0.077847844773,-0.631799855497,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
case_0873,geom_087,train,35.01,8277000.0,0.1643,9.758,0.0,0.575991067578,0.035550458635,-0.40870277376,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
case_0874,geom_087,train,23.61,27600000.0,0.2758,2.406,0.0,0.149704960895,0.006898893311,-0.10714768269,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
case_0875,geom_087,train,27.2,23700000.0,0.4772,-6.513,0.0,-0.393176432814,0.018906605863,0.277461993122,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
case_0876,geom_087,train,3.17,35000000.0,0.2089,1.318,0.0,0.084605839966,0.005421597665,-0.060999171459,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
